Country2Code;Year;SP_NumericRating;Fitch_NumericRating;AvgRatingSF;Diff_UP_SF;OLD_Diff_UP_SF_OLD;BudgetBal_NGDP;BudgetBal_NGDP_Var;GGSB_NPGDP;GGSB_NPGDP_Var;GGXWDG_NGDP;GGXWDG_NGDP_Var;GGXWDN_NGDP;GGXWDN_NGDP_Var;NGDP_RPCH;NGDPDPC;NGDPDPC_Var;PCPIPCH;ExtDebtCombinedPercGNI;ExtDebtPercGNI_Var;DefaultLastYear;DefaultLast2Years;DefaultLast5Years;DefaultLast10Years
DO;2005;7;6;6.5;1;1;-0.4;87.922;-0.44;83.68;21.29;-5.378;21.29;-5.378;9.22;4025.42;52.599;4.19;24.15;-37.535;1;1;1;1
DO;2006;7;7;7;0;0;-0.93;-133.167;-1.15;-162.045;19.42;-8.765;19.42;-8.765;10.66;4216.93;4.758;7.57;27.04;11.959;1;1;1;1
DO;2007;8;7;7.5;1;1;0.11;111.337;-0.13;88.552;17.52;-9.807;17.52;-9.807;8.48;4793.05;13.662;6.14;25.66;-5.104;1;1;1;1
DO;2008;7;7;7;0;0;-3.26;-3174.528;-3.9;-2854.545;19.6;11.896;19.6;11.896;3.14;5180.17;8.076;10.64;22.86;-10.89;1;1;1;1
DO;2009;7;7;7;0;0;-3.03;7.088;-2.41;38.282;22.73;15.947;22.73;15.947;0.94;5131.67;-0.936;1.44;25.51;11.591;1;1;1;1
DO;2010;7;7;7;0;0;-2.74;9.676;-3.17;-31.865;23.75;4.505;23.75;4.505;8.3;5676.27;10.613;6.33;25.68;0.666;1;1;1;1
DO;2011;8;7;7.5;1;1;-3.04;-11.115;-2.58;18.872;25.75;8.407;25.75;8.407;2.82;6085.89;7.216;8.46;26.88;4.645;1;1;1;1
DO;2012;8;7;7.5;1;1;-6.58;-116.65;-6.8;-163.883;30.46;18.307;30.46;18.307;2.63;6252.48;2.737;3.7;37.95;41.185;1;1;1;1
DO;2013;8;7;7.5;1;1;-3.56;45.99;-2.93;56.821;34.6;13.59;34.6;13.59;4.78;6264.14;0.186;4.83;42.14;11.053;1;1;1;1
DO;2014;8;8;8;0;0;-3.03;14.679;-3.1;-5.692;34.38;-0.639;34.38;-0.639;7.34;6481.31;3.467;3;44;4.409;1;1;1;1
DO;2015;9;8;8.5;1;1;0.07;102.241;-2.71;12.706;34.29;-0.273;34.29;-0.273;7;6755.74;4.234;0.84;25.49;-42.064;1;1;1;1
AO;2015;8;8;8;0;0;-4.09;0;;0;62.33;0;;0;3;4100.32;0;10.28;0;0;1;1;1;1
AR;1997;10;10;10;0;0;-1.71;34.769;-1.6;60.144;29.57;-2.679;;0;8.11;9851.19;6.365;0;0;0;0;0;1;1
AR;1998;10;10;10;0;0;-1.7;0.409;-1.93;-20.274;31.87;7.771;;0;3.85;9946.78;0.97;0.93;0;0;0;0;1;1
AR;1999;10;10;10;0;0;-3.45;-102.641;-2.57;-33.091;36.3;13.91;;0;-3.39;9336.53;-6.135;-1.17;0;0;0;0;0;1
AR;2001;0;0;0;0;0;-4.91;-63.102;-3.15;-30.282;44.76;17.537;;0;-4.41;8672.46;-6.378;-1.07;0;0;0;0;0;1
AR;2002;0;0;0;0;0;-1.92;60.884;0.21;106.614;137.72;207.695;;0;-10.9;3201.27;-63.087;25.87;0;0;1;1;1;1
AR;2003;0;0;0;0;0;1.06;155.284;1.91;819.231;116.39;-15.482;;0;8.84;4029.42;25.869;13.44;138.18;0;1;1;1;1
AR;2004;0;0;0;0;0;3.21;202.542;3.53;84.467;106.03;-8.903;;0;9.03;4765.42;18.265;4.42;99.39;-28.072;1;1;1;1
AR;2005;1;0;0.5;1;1;1.97;-38.749;1.83;-48.228;60.25;-43.182;;0;9.23;5737.21;20.393;9.64;53.5;-46.173;1;1;1;1
AR;2006;8;7;7.5;1;1;1.51;-23.12;1.11;-39.102;51.9;-13.848;;0;8.38;6749.81;17.65;10.9;42.58;-20.412;1;1;1;1
AR;2007;8;7;7.5;1;1;0.16;-89.359;-0.62;-155.755;44.39;-14.473;;0;7.97;8378.93;24.136;8.83;38.49;-9.597;1;1;1;1
AR;2008;6;6;6;0;0;0.43;166.46;0.26;142.581;39.27;-11.541;;0;3.08;10214.98;21.913;8.59;31.5;-18.154;1;1;1;1
AR;2009;6;6;6;0;0;-1.94;-552.214;-0.6;-326.894;47.59;21.196;;0;0.05;9430.85;-7.676;6.27;32.52;3.215;1;1;1;1
AR;2010;7;7;7;0;0;-1.17;39.845;-0.98;-64.274;39.11;-17.81;;0;9.45;11347.32;20.321;10.46;29.31;-9.85;1;1;1;1
AR;2011;7;7;7;0;0;-2.41;-106.084;-3.48;-253.963;35.87;-8.283;;0;8.39;13568.24;19.572;9.78;26.35;-10.104;1;1;1;1
AR;2012;6;2;4;1;4;-2.67;-11.143;-3.04;12.805;37.61;4.85;;0;0.8;14561.99;7.324;10.04;24.5;-7.017;1;1;1;1
AR;2013;5;2;3.5;1;3;-2.96;-10.662;-3.65;-20.25;41.48;10.27;;0;2.89;14739.62;1.22;10.62;23.45;-4.31;1;1;1;1
AZ;2008;11;11;11;0;0;20.6;0;;0;7.3;0;;0;10.8;5212.83;0;20.82;10.25;0;0;0;0;0
AZ;2009;11;11;11;0;0;7.43;-63.915;;0;11.79;61.601;;0;9.3;4933.36;-5.361;1.56;11.66;13.81;0;0;0;0
BG;2000;8;8;8;0;0;-0.61;-500.658;0.95;0;73.89;-6.993;22.25;0;5.01;1613.33;-3.561;10.32;93.64;5.221;1;1;1;1
BG;2001;9;8;8.5;1;1;-0.58;4.433;1.16;22.023;67.29;-8.93;16.34;-26.563;4.25;1791.3;11.031;7.37;79.62;-14.966;1;1;1;1
BG;2002;10;10;10;0;0;-0.62;-5.842;0.5;-56.995;53.54;-20.428;7.75;-52.547;6.02;2085.27;16.411;5.81;73.72;-7.419;1;1;1;1
BG;2003;11;11;11;0;0;0;100.325;1.08;116.265;45.58;-14.874;-8.9;-214.745;5.08;2701.6;29.557;2.35;66.58;-9.686;1;1;1;1
BR;1994;8;8;8;0;0;0;0;0;0;0;0;0;0;5.34;3569.46;0;2075.83;28.47;0;1;1;1;1
BR;1995;8;8;8;0;0;0;0;0;0;0;0;0;0;4.42;4950.3;38.685;66.01;21.23;-25.406;1;1;1;1
BR;1996;8;8;8;0;0;-5.35;0;0;0;0;0;0;0;2.21;5273.89;6.537;15.76;21.92;3.226;1;1;1;1
BR;1997;9;8;8.5;1;1;-5.6;-4.826;0;0;0;0;0;0;3.4;5394.64;2.29;6.93;22.66;3.367;1;1;1;1
BR;1998;9;8;8.5;1;1;-7.22;-28.837;0;0;0;0;0;0;0.34;5197.03;-3.663;3.2;29.31;29.368;1;1;1;1
BR;1999;8;7;7.5;1;1;-5.18;28.324;0;0;0;0;0;0;0.47;3552.14;-31.651;4.86;43.11;47.064;1;1;1;1
BR;2001;9;9;9;0;0;-3.17;4.458;-2.86;18.636;70.05;6.853;51.49;9.624;1.39;3183.79;-15.75;6.84;43.04;11.305;1;1;1;1
BR;2002;8;7;7.5;1;1;-4.42;-39.313;-4;-39.735;78.8;12.482;59.93;16.408;3.05;2859.6;-10.183;8.45;47.68;10.761;1;1;1;1
BR;2003;8;8;8;0;0;-5.18;-17.153;-3.96;1.049;73.82;-6.314;54.26;-9.469;1.14;3090.66;8.08;14.71;44.13;-7.434;0;1;1;1
BR;2004;9;9;9;0;0;-2.88;44.447;-2.61;34.192;70.08;-5.074;50.19;-7.507;5.76;3659.1;18.392;6.6;34.28;-22.319;1;1;1;1
BR;2005;9;9;9;0;0;-3.54;-23.053;-3.2;-22.64;68.59;-2.129;47.92;-4.525;3.2;4815.71;31.609;6.87;21.99;-35.87;1;1;1;1
BR;2006;10;10;10;0;0;-3.57;-0.876;-3.34;-4.349;65.85;-3.995;46.49;-2.982;3.96;5912.55;22.776;4.18;18.29;-16.807;1;1;1;1
BR;2007;11;11;11;0;0;-2.74;23.333;-3.31;0.9;63.74;-3.192;44.14;-5.04;6.07;7374.08;24.719;3.64;17.81;-2.613;1;1;1;1
BR;2015;11;11;11;0;0;-10.3;-70.349;-9.29;-22.972;73.7;16.399;36.19;9.305;-3.85;8670;-27.27;9.03;38.31;62.951;0;0;0;0
CM;2003;7;7;7;0;0;0.65;0;;0;60.27;0;60.27;0;4.03;807.33;0;0.63;87.11;0;1;1;1;1
CM;2007;7;7;7;0;0;4.67;-85.779;;0;11.96;-24.63;11.96;-24.63;3.26;1085.19;10.763;1.13;15.48;-19.831;1;1;1;1
CM;2008;7;7;7;0;0;2.23;-52.195;;0;9.72;-18.744;9.72;-18.744;2.89;1208.9;11.4;5.34;12.38;-20.035;1;1;1;1
CM;2009;7;7;7;0;0;-0.05;-102.195;;0;10.09;3.881;10.09;3.881;1.93;1176.48;-2.682;3.04;13.92;12.398;1;1;1;1
CM;2010;7;7;7;0;0;-1.09;-2114.286;;0;11.53;14.219;11.53;14.219;3.27;1158.78;-1.504;1.28;13.65;-1.911;1;1;1;1
CM;2011;7;7;7;0;0;-2.6;-139.447;;0;13.25;14.904;13.25;14.904;4.14;1271.21;9.702;2.94;11.77;-13.744;1;1;1;1
CM;2012;7;7;7;0;0;-1.59;38.761;;0;15.43;16.489;15.43;16.489;4.6;1234.37;-2.898;2.38;14.36;21.947;1;1;1;1
CM;2013;7;7;7;0;0;-3.95;-148.46;;0;18.66;20.961;18.66;20.961;5.55;1344.34;8.909;2.05;16.94;17.962;1;1;1;1
CM;2014;7;7;7;0;0;-4.71;-19.024;;0;27.96;49.804;27.96;49.804;5.93;1402.8;4.349;1.85;16.65;-1.683;1;1;1;1
CM;2015;7;7;7;0;0;-5.75;-22.21;;0;33.51;19.851;33.51;19.851;5.87;1232.42;-12.145;2.75;0;-100;1;1;1;1
CO;2002;10;10;10;0;0;-3.43;-18.414;-2.38;24.389;47.24;15.694;30.74;-8.351;2.5;2369.91;-1.502;6.35;34.09;-8.076;1;1;1;1
CO;2003;10;10;10;0;0;-2.69;21.695;-1.16;51.384;44.75;-5.269;37.48;21.926;3.92;2261.58;-4.571;7.13;39.64;16.262;1;1;1;1
CO;2004;10;10;10;0;0;-1.26;52.994;0.09;107.765;41.21;-7.9;32.51;-13.26;5.33;2763.7;22.202;5.9;32.96;-16.846;1;1;1;1
CO;2005;10;10;10;0;0;-0.01;98.892;0.57;534.444;38.28;-7.109;27.96;-14.008;4.71;3416.9;23.635;5.05;25.94;-21.288;0;1;1;1
CO;2006;10;10;10;0;0;-0.99;-6985.714;-1.33;-332.574;35.75;-6.609;25.29;-9.547;6.7;3749.84;9.744;4.29;23.99;-7.536;0;0;1;1
CO;2007;11;11;11;0;0;-0.85;14.617;-2.02;-52.108;32.47;-9.188;22.48;-11.116;6.9;4722.94;25.95;5.54;21.75;-9.338;0;0;1;1
CO;2008;11;11;11;0;0;-0.25;70.248;-1.18;41.733;32.14;-1.001;22.27;-0.93;3.55;5495.98;16.368;7;19.74;-9.238;0;0;1;1
CO;2009;11;11;11;0;0;-2.8;-1009.127;-2.29;-94.562;35.17;9.417;26.15;17.429;1.65;5200.05;-5.385;4.2;23.53;19.217;0;0;0;1
CO;2010;11;11;11;0;0;-3.3;-17.996;-2.55;-11.441;36.44;3.605;28.45;8.796;3.97;6305.29;21.254;2.27;23.14;-1.662;0;0;0;1
CR;2000;10;10;10;0;0;-3.38;-56.745;;0;35.66;3.975;;0;1.8;4293.58;1.68;10.96;31.91;5.902;1;1;1;1
CR;2001;10;10;10;0;0;-3.29;2.573;;0;37.64;5.559;;0;1.08;4256.63;-0.861;11.25;31.05;-2.667;1;1;1;1
CR;2002;10;10;10;0;0;-4.79;-45.416;;0;39.76;5.63;;0;2.9;4296.02;0.926;9.17;30.89;-0.522;1;1;1;1
CR;2003;10;10;10;0;0;-3.3;31.148;;0;38.99;-1.934;;0;6.41;4397.75;2.368;9.44;33.73;9.2;1;1;1;1
CR;2004;10;10;10;0;0;-3.33;-1.001;;0;40;2.598;;0;4.26;4594.76;4.48;12.32;31.44;-6.812;1;1;1;1
CR;2005;10;10;10;0;0;-2.72;18.223;;0;36.52;-8.69;;0;5.89;4858.94;5.75;13.79;32.82;4.387;1;1;1;1
CR;2006;10;10;10;0;0;-1.41;48.421;;0;32.47;-11.1;;0;8.78;5401.11;11.158;11.48;31.03;-5.433;1;1;1;1
CR;2007;11;10;10.5;1;1;0.31;121.922;;0;26.86;-17.287;;0;7.94;6221.39;15.187;9.36;33.03;6.451;1;1;1;1
CR;2008;11;10;10.5;1;1;-0.28;-191.883;;0;24.16;-10.053;;0;2.73;6950.39;11.718;13.42;30.04;-9.06;1;1;1;1
CR;2009;11;10;10.5;1;1;-3.51;-1139.576;;0;26.55;9.889;;0;-1.02;6744.44;-2.963;7.84;27.42;-8.718;0;1;1;1
CR;2010;11;10;10.5;1;1;-5.27;-50.2;;0;28.41;7.01;;0;4.95;8213.2;21.777;5.67;22.94;-16.359;0;0;1;1
CR;2011;11;11;11;0;0;-4.17;20.782;;0;29.83;5.02;;0;4.52;9212.37;12.165;4.88;25.27;10.172;0;0;1;1
CR;2012;11;11;11;0;0;-4.53;-8.601;;0;34.29;14.947;;0;5.17;9988.94;8.43;4.5;32.18;27.346;0;0;1;1
EC;2002;5;5;5;0;0;0.76;935.616;3.77;-8.187;52.52;-15.699;;0;4.1;2180.39;14.191;12.49;59.4;-2.541;1;1;1;1
EC;2003;5;5;5;0;0;1;32.011;3.84;1.778;44.87;-14.566;;0;2.72;2434.98;11.676;7.93;53.82;-9.389;1;1;1;1
EC;2007;6;5;5.5;1;1;2.6;-8.906;4.82;4.515;27.2;-5.661;;0;2.19;3588.31;7.067;2.28;36.43;-5.813;1;1;1;1
EC;2010;6;6;6;0;0;-1.36;61.989;-2.39;25.79;19.68;11.045;;0;3.53;4633.25;9.225;3.55;21.83;0.845;1;1;1;1
EC;2011;6;6;6;0;0;-0.13;90.641;-2.49;-3.843;19.43;-1.25;;0;7.87;5192.88;12.079;4.48;21.14;-3.188;1;1;1;1
EC;2012;7;6;6.5;1;1;-0.94;-637.795;-3.64;-46.541;21.61;11.22;;0;5.64;5664.89;9.09;5.1;19.56;-7.485;1;1;1;1
EC;2013;7;7;7;0;0;-4.59;-389.648;-8.85;-142.904;25.91;19.875;;0;4.55;6008.09;6.059;2.72;21.72;11.076;1;1;1;1
EC;2014;8;7;7.5;1;1;-5.35;-16.521;-9.74;-10.024;31.18;20.378;;0;3.68;6296.53;4.801;3.59;26.5;22.016;1;1;1;1
EC;2015;7;7;7;0;0;-5.29;1.066;-4.92;49.486;34.53;10.736;;0;0.02;6070.95;-3.583;3.97;27.67;4.411;1;1;1;1
EG;2002;11;11;11;0;0;-10.79;0;0;0;85.78;0;63.13;0;3.19;1356.68;-13.534;2.43;32.83;18.769;1;1;1;1
EG;2003;11;11;11;0;0;-8.58;20.469;0;0;97.1;13.196;69.63;10.302;3.19;1254.1;-7.561;3.21;35.88;9.284;1;1;1;1
EG;2004;11;11;11;0;0;-7.85;8.54;0;0;96.51;-0.6;67.54;-2.999;4.09;1195.37;-4.683;8.11;39.12;9.034;1;1;1;1
EG;2005;11;11;11;0;0;-8;-1.847;0;0;98.26;1.814;67.59;0.068;4.47;1330.46;11.301;8.83;33.49;-14.395;1;1;1;1
EG;2006;11;11;11;0;0;-8.73;-9.206;-8.7;0;85.92;-12.557;67.87;0.423;6.84;1563.48;17.514;4.2;28.37;-15.269;1;1;1;1
EG;2007;11;11;11;0;0;-7.18;17.787;-7.2;17.182;76.27;-11.238;61.33;-9.636;7.09;1861.05;19.033;10.96;26;-8.353;1;1;1;1
EG;2008;11;11;11;0;0;-7.61;-6.046;-8.1;-12.526;66.76;-12.465;52.84;-13.839;7.16;2270.36;21.993;11.7;20.45;-21.358;1;1;1;1
EG;2009;11;11;11;0;0;-6.56;13.847;-7.06;12.822;69.45;4.028;55.87;5.728;4.67;2578.05;13.553;16.24;18.54;-9.335;1;1;1;1
EG;2010;11;11;11;0;0;-7.88;-20.128;-8.59;-21.532;69.59;0.202;57.09;2.189;5.15;2921.76;13.332;11.69;17.03;-8.128;1;1;1;1
EG;2013;6;6;6;0;0;-13.39;-33.883;-13.16;-30.684;84.66;12.828;74.28;15.029;2.1;3369.98;0.7;6.91;15.95;7.631;0;0;1;1
ET;2014;7;7;7;0;0;-2.58;0;;0;40.69;0;36.13;0;10.32;628.34;0;7.4;29.91;0;1;1;1;1
ET;2015;7;7;7;0;0;-2.5;3.292;;0;48.62;19.488;43.55;20.516;10.2;686.59;9.272;10.11;32.6;9.005;1;1;1;1
GA;2007;9;9;9;0;0;8.06;0;;0;39.69;0;;0;6.33;8639.7;0;-1.02;45.8;0;1;1;1;1
GA;2008;9;9;9;0;0;10.99;36.351;;0;16.93;-57.348;;0;1.73;10377.41;20.113;5.26;16.12;-64.798;1;1;1;1
GA;2009;9;9;9;0;0;6.77;-38.421;;0;23.09;36.385;;0;-2.28;7833.86;-24.51;1.89;21.74;34.826;1;1;1;1
GA;2010;9;9;9;0;0;2.7;-60.148;;0;20.51;-11.178;;0;6.27;8917.32;13.83;1.45;20.24;-6.91;1;1;1;1
GA;2011;9;9;9;0;0;2.46;-8.895;;0;17.85;-12.95;;0;7.09;10891.1;22.134;1.26;17.84;-11.865;1;1;1;1
GA;2012;9;9;9;0;0;1.6;-34.906;;0;19.7;10.34;;0;5.25;9903.19;-9.071;2.68;18.56;4.087;1;1;1;1
GA;2013;9;9;9;0;0;1.77;10.562;;0;29.24;48.424;;0;5.64;9760.88;-1.437;0.48;27.17;46.353;1;1;1;1
GA;2014;9;9;9;0;0;2.68;51.385;;0;32.16;9.997;;0;4.32;9956.47;2.004;4.51;25.1;-7.604;0;1;1;1
GA;2015;8;8;8;0;0;-2.34;-187.341;;0;43.92;36.575;;0;4.01;7735.94;-22.302;0.1;0;-100;0;0;1;1
GE;2010;8;8;8;0;0;-4.78;26.945;-3.63;50.853;42.4;3.415;;0;6.25;2951.24;9.56;7.11;85.61;5.124;1;1;1;1
GE;2011;9;9;9;0;0;-0.87;81.883;-1.06;70.882;36.5;-13.915;;0;7.22;3710.7;25.733;8.54;81.07;-5.303;1;1;1;1
GE;2012;9;9;9;0;0;-0.76;12.587;-1.65;-55.629;34.9;-4.384;;0;6.35;4130.55;11.315;-0.94;78.88;-2.712;1;1;1;1
GE;2013;9;9;9;0;0;-1.17;-54.029;-0.14;91.611;34.7;-0.573;;0;3.39;4266.59;3.294;-0.51;86.67;9.878;1;1;1;1
GE;2014;9;9;9;0;0;-1.83;-57.204;-1.28;-823.913;35.5;2.305;;0;4.62;4428.26;3.789;3.07;85.05;-1.865;1;1;1;1
GE;2015;9;9;9;0;0;-1.16;36.661;-0.25;80.392;41.2;16.054;;0;2.76;3788.62;-14.444;4.01;110.63;30.079;1;1;1;1
GH;2003;8;7;7.5;1;1;-3.02;0;;0;74.55;0;73.64;0;5.25;625.63;0;26.63;105.48;0;1;1;1;1
GH;2004;8;7;7.5;1;1;-3.05;-1.028;;0;57.82;-22.445;54.41;-26.11;5.58;709.83;13.459;12.67;85.39;-19.048;1;1;1;1
GH;2005;8;8;8;0;0;-2.83;7.091;;0;47.99;-16.998;43.62;-19.837;5.87;836.35;17.824;15.1;67.6;-20.835;1;1;1;1
GH;2006;8;8;8;0;0;-4.71;-66.36;;0;26.22;-45.372;21.92;-49.736;6.25;952.76;13.919;11.68;18.11;-73.21;1;1;1;1
